size	colour	x	y	fill
1.036	#F8766D	0.187961319629113	0.565792102070857	#F8766D
1.918	#E58700	0.513500241316736	0.581643063930982	#E58700
1	#C99800	0.356347436936937	0.725790937216598	#C99800
1.162	#A3A500	0.415434656329937	0.452024497450921	#A3A500
1.036	#6BB100	0.1381715222717	0.628686271584938	#6BB100
1.018	#00BA38	0.765943977828838	0.385199658857896	#00BA38
1.018	#00BF7D	0.765943977828838	0.133863573032596	#00BF7D
1.288	#00C0AF	0.435089445987428	0.876454395409604	#00C0AF
2.35	#00BCD8	0.306969387842117	0.513589065784732	#00BCD8
1.018	#00B0F6	0.871596573052296	0.126177612580912	#00B0F6
3.322	#619CFF	0.257467563148779	0.521685453372068	#619CFF
1.162	#B983FF	0.669293562721241	0.584513910375245	#B983FF
1.054	#E76BF3	0.842852240042831	0.241927245099761	#E76BF3
1.018	#FD61D1	0.493929070127295	0.380939712722665	#FD61D1
1.018	#FF67A4	0.669293562721241	0.293505741887687	#FF67A4
